started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2026-02-01 04:52:11.280000+00:00,2026-02-01 04:58:14.589000+00:00,363,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.378317,5.350897,788,Danmarksplass,Ved bybanestopp,60.376083,5.339851
2026-02-01 06:36:54.002000+00:00,2026-02-01 06:41:12.962000+00:00,259,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414,5.33265,87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.385431,5.337432
2026-02-01 07:30:56.812000+00:00,2026-02-01 07:45:37.690000+00:00,881,1045,Damsgårdsveien 2,Midlertidig plassering frem til våren 2020,60.378022,5.329383,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.392966,5.323538
2026-02-01 07:38:44.812000+00:00,2026-02-01 07:42:59.372000+00:00,255,5255,Tollbodalmenningen,Ved siden av lekeplass,60.399223,5.310526,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.392966,5.323538
2026-02-01 08:19:53.522000+00:00,2026-02-01 08:25:21.560000+00:00,328,5356,Fløen Bybanestopp,Ved Fløen Bybanestopp,60.381153,5.353251,790,Busstasjonen 3  Øst,Ved Taxiholdeplass,60.387856,5.334459
2026-02-01 08:30:10.496000+00:00,2026-02-01 08:42:27.536000+00:00,737,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467,5.310008,1043,Comfort Hotel Bergen,Holbergsallmenningen bussholdeplass,60.396329,5.315116
2026-02-01 08:33:07.164000+00:00,2026-02-01 08:43:33.530000+00:00,626,216,Johanneskirken,på Sydnesplassen,60.38853,5.318665,70,Laksevåg senter,Ved inngangen til Laksevåg senter,60.389632,5.286516
2026-02-01 08:38:10.803000+00:00,2026-02-01 08:51:15.851000+00:00,785,117,Verftet,Ved kaien på ved Georgernes verft,60.395877,5.307756,150,Torget,Ved busstopp,60.395878,5.325284
2026-02-01 08:38:47.364000+00:00,2026-02-01 08:42:22.508000+00:00,215,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323,5.330654,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681,5.330978
2026-02-01 09:11:27.453000+00:00,2026-02-01 09:26:19.463000+00:00,892,2313,Solheimsviken,Utenfor Beddingen,60.377082,5.335575,809,Skutevikstorget,På sørsiden av torget,60.402229,5.320745
