started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2026-06-30 22:00:24.650000+00:00,2026-06-30 22:10:29.762000+00:00,605,788,Danmarksplass,Ved bybanestopp,60.376083,5.339851,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323,5.330654
2026-07-01 03:42:37.204000+00:00,2026-07-01 03:54:34.865000+00:00,718,640,Damsgårdsveien,Ved inngang Bunnpris,60.381512,5.319435,116,Lysverket,"Gamle Lysverket, ved KODE",60.389626,5.329864
2026-07-01 03:54:36.763000+00:00,2026-07-01 04:04:32.430000+00:00,596,788,Danmarksplass,Ved bybanestopp,60.376083,5.339851,1888,Bergen Jernbanestasjon II,På venstre side av hovedinngangen til Jernbanestasjonen,60.390665,5.333027
2026-07-01 03:55:03.386000+00:00,2026-07-01 04:00:36.730000+00:00,333,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467,5.310008,641,Krohnviken,Ved Solheimsviken bobåthavn,60.378107,5.331021
2026-07-01 03:59:48.135000+00:00,2026-07-01 04:05:08.314000+00:00,320,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395144,5.320002,301,Lars Hilles,Lars Hilles gate 18,60.388118,5.331487
2026-07-01 04:05:03.198000+00:00,2026-07-01 04:09:45.537000+00:00,282,796,Strømgaten,"På hjørne Allégaten, Strømgaten",60.386582,5.326041,1888,Bergen Jernbanestasjon II,På venstre side av hovedinngangen til Jernbanestasjonen,60.390665,5.333027
2026-07-01 04:06:27.106000+00:00,2026-07-01 04:16:15.627000+00:00,589,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323,5.330654,2336,Møllestranden,Ved badebrygge,60.380044,5.350824
2026-07-01 04:18:47.946000+00:00,2026-07-01 04:30:18.731000+00:00,691,803,Permanenten,Ved Inngang,60.390643,5.324397,75,Akvariet,Ved Akvariet og Havforskningsinstituttet,60.399817,5.304564
2026-07-01 04:18:51.675000+00:00,2026-07-01 04:33:46.253000+00:00,895,809,Skutevikstorget,På sørsiden av torget,60.402229,5.320745,5,Moxy Hotellet,Utenfor Beddingen,60.378783,5.333327
2026-07-01 04:19:59.050000+00:00,2026-07-01 04:24:17.893000+00:00,259,814,Nykirken,i Strandgaten,60.396949,5.313495,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.392966,5.323538
2026-07-01 04:21:34.001000+00:00,2026-07-01 04:35:55.742000+00:00,862,790,Busstasjonen 3  Øst,Ved Taxiholdeplass,60.387856,5.334459,1889,Nordnes Sjøbad,Ved inngang til Sjøbadet,60.39902,5.303322
2026-07-01 04:26:18.980000+00:00,2026-07-01 04:33:17.480000+00:00,419,217,Nykirkekaien,Langs C. Sundts gate,60.397057,5.314548,790,Busstasjonen 3  Øst,Ved Taxiholdeplass,60.387856,5.334459
2026-07-01 04:34:42.801000+00:00,2026-07-01 04:40:11.380000+00:00,329,5255,Tollbodalmenningen,Ved siden av lekeplass,60.399223,5.310526,156,Allehelgens plass,ved Politihuset,60.392651,5.328977
2026-07-01 04:37:05.396000+00:00,2026-07-01 04:38:38.634000+00:00,93,814,Nykirken,i Strandgaten,60.396949,5.313495,815,Gågaten,Strandgaten 60,60.39507,5.318798
2026-07-01 04:37:35.379000+00:00,2026-07-01 04:42:38.721000+00:00,303,5255,Tollbodalmenningen,Ved siden av lekeplass,60.399223,5.310526,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.392966,5.323538
2026-07-01 04:40:57.504000+00:00,2026-07-01 04:49:48.531000+00:00,531,814,Nykirken,i Strandgaten,60.396949,5.313495,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681,5.330978
2026-07-01 04:41:22.225000+00:00,2026-07-01 04:45:05.851000+00:00,224,131,Gulating,Gulatings plass ved Rådhuset,60.391984,5.326618,217,Nykirkekaien,Langs C. Sundts gate,60.397057,5.314548
2026-07-01 04:42:38.308000+00:00,2026-07-01 04:53:30.877000+00:00,653,640,Damsgårdsveien,Ved inngang Bunnpris,60.381512,5.319435,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.378317,5.350897
2026-07-01 04:46:50.155000+00:00,2026-07-01 04:55:34.415000+00:00,524,814,Nykirken,i Strandgaten,60.396949,5.313495,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681,5.330978
2026-07-01 04:48:48.691000+00:00,2026-07-01 04:57:17.040000+00:00,508,808,Damsgårdsveien 71,Parkeringsplass ved Festningsmur,60.380263,5.323223,1888,Bergen Jernbanestasjon II,På venstre side av hovedinngangen til Jernbanestasjonen,60.390665,5.333027
2026-07-01 04:48:51.345000+00:00,2026-07-01 04:57:53.944000+00:00,543,33,Høgskulen på Vestlandet,Ved hovedinngang til skolen,60.36918,5.349444,87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.385431,5.337432
2026-07-01 04:48:51.973000+00:00,2026-07-01 04:53:09.211000+00:00,257,644,Solheimsgaten (ved Extra),Utenfor COOP Extra,60.375141,5.338517,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.383934,5.33345
2026-07-01 04:48:59.199000+00:00,2026-07-01 04:52:14.496000+00:00,195,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.392966,5.323538,1888,Bergen Jernbanestasjon II,På venstre side av hovedinngangen til Jernbanestasjonen,60.390665,5.333027
2026-07-01 04:49:19.923000+00:00,2026-07-01 04:55:52.441000+00:00,393,1045,Damsgårdsveien 2,Midlertidig plassering frem til våren 2020,60.378022,5.329383,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon,60.38891,5.333817
