started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2026-03-01 06:43:33.541000+00:00,2026-03-01 06:47:38.485000+00:00,245,814,Nykirken,i Strandgaten,60.396949,5.313495,131,Gulating,Gulatings plass ved Rådhuset,60.391984,5.326618
2026-03-01 06:49:05.277000+00:00,2026-03-01 06:54:10.986000+00:00,306,807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.398656,5.322143,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395144,5.320002
2026-03-01 06:56:23.473000+00:00,2026-03-01 07:07:43.648000+00:00,680,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414,5.33265,644,Solheimsgaten (ved Extra),Utenfor COOP Extra,60.375141,5.338517
2026-03-01 07:20:24.408000+00:00,2026-03-01 07:25:49.343000+00:00,325,219,Jonsvollkvartalet,Jonsvollsgaten,60.392677,5.317308,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681,5.330978
2026-03-01 07:37:42.009000+00:00,2026-03-01 07:42:45.314000+00:00,303,138,C. Sundts gate,Ved Nagelgården,60.399475,5.308762,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.392966,5.323538
2026-03-01 07:44:27.800000+00:00,2026-03-01 07:50:43.399000+00:00,376,806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.397709,5.322001,790,Busstasjonen 3  Øst,Ved Taxiholdeplass,60.387856,5.334459
2026-03-01 07:44:31.214000+00:00,2026-03-01 07:50:40.267000+00:00,369,7,Neumanns gate,Ved Konsertpaleet,60.391386,5.319195,2338,Bontelabo,Innenfor inngang til takgarasje,60.401758,5.316562
2026-03-01 07:50:51.071000+00:00,2026-03-01 07:59:30.132000+00:00,519,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395144,5.320002,1046,Ole Vigs gate,Ole Vigs Gate 4,60.385923,5.321432
2026-03-01 07:55:29.739000+00:00,2026-03-01 08:01:57.307000+00:00,388,220,Møllendalsplass,ved KMD Fakultetet,60.379895,5.352078,131,Gulating,Gulatings plass ved Rådhuset,60.391984,5.326618
2026-03-01 08:01:57.306000+00:00,2026-03-01 08:14:37.475000+00:00,760,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467,5.310008,1043,Comfort Hotel Bergen,Holbergsallmenningen bussholdeplass,60.396329,5.315116
2026-03-01 08:12:08.663000+00:00,2026-03-01 08:16:50.174000+00:00,282,298,Østre Murallmenningen øvre,Østre Murallmenningen / Markeveien,60.393977,5.318713,301,Lars Hilles,Lars Hilles gate 18,60.388118,5.331487
2026-03-01 08:26:14.321000+00:00,2026-03-01 08:37:57.227000+00:00,703,117,Verftet,Ved kaien på ved Georgernes verft,60.395877,5.307756,150,Torget,Ved busstopp,60.395878,5.325284
2026-03-01 08:45:04.899000+00:00,2026-03-01 09:00:15.546000+00:00,911,810,Amalie Skrams vei Sør,Amalie Skrams vei 1,60.408097,5.325511,799,HF-Bygget,Sydnesplassen,60.387854,5.318713
2026-03-01 08:51:58.832000+00:00,2026-03-01 08:57:25.171000+00:00,326,7,Neumanns gate,Ved Konsertpaleet,60.391386,5.319195,301,Lars Hilles,Lars Hilles gate 18,60.388118,5.331487
2026-03-01 08:53:50.183000+00:00,2026-03-01 09:07:42.994000+00:00,833,98,Brann Stadion,Bak Frydenbøtribunen,60.367425,5.355191,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414,5.33265
2026-03-01 08:57:42.905000+00:00,2026-03-01 09:02:14.006000+00:00,271,795,Fosswinckels gate,I gågate,60.386582,5.327979,641,Krohnviken,Ved Solheimsviken bobåthavn,60.378107,5.331021
2026-03-01 09:16:11.165000+00:00,2026-03-01 09:33:08.479000+00:00,1017,5255,Tollbodalmenningen,Ved siden av lekeplass,60.399223,5.310526,222,Sandviken Brygge,ved Måseskjæret,60.412946,5.32087
2026-03-01 09:18:15.939000+00:00,2026-03-01 09:23:41.254000+00:00,325,2338,Bontelabo,Innenfor inngang til takgarasje,60.401758,5.316562,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.392966,5.323538
